,date,value
24,2020-04-11,*
25,2020-04-12,*
26,2020-04-13,*
27,2020-04-14,*
28,2020-04-15,*
29,2020-04-16,*
30,2020-04-17,*
31,2020-04-18,*
32,2020-04-19,*
33,2020-04-20,*
34,2020-04-21,*
35,2020-04-22,*
36,2020-04-23,*
37,2020-04-24,*
38,2020-04-25,*
39,2020-04-26,*
40,2020-04-27,*
41,2020-04-28,*
42,2020-04-29,*
43,2020-04-30,*
44,2020-05-01,*
45,2020-05-02,*
46,2020-05-03,*
47,2020-05-04,*
48,2020-05-05,*
49,2020-05-06,*
50,2020-05-07,*
51,2020-05-08,*
52,2020-05-09,*
53,2020-05-10,*
54,2020-05-11,*
